Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2747636;Schelluinen;Schelluinen;;P;PPL;NL;Netherlands;;11;1978;;;1255;;1;Europe/Amsterdam;2019-01-20;Netherlands;51.84333,4.92639
2748006;Roelofarendsveen;Roelofarendsveen;;P;PPL;NL;Netherlands;;11;1884;;;2710;;0;Europe/Amsterdam;2017-10-17;Netherlands;52.20333,4.63333
2748172;Ridderkerk;Ridderkerk;Ridderkerk,Риддеркерк;P;PPL;NL;Netherlands;;11;0597;;;45189;;0;Europe/Amsterdam;2019-12-27;Netherlands;51.8725,4.60278
2748363;Raamsdonk;Raamsdonk;;P;PPL;NL;Netherlands;;06;0779;;;1920;;1;Europe/Amsterdam;2017-10-17;Netherlands;51.6875,4.90833
2748725;Papenveer;Papenveer;;P;PPL;NL;Netherlands;;11;0569;;;1135;;-2;Europe/Amsterdam;2017-03-24;Netherlands;52.185,4.725
2748740;Pannerden;Pannerden;Rannereen;P;PPL;NL;Netherlands;;03;0299;;;2085;;13;Europe/Amsterdam;2019-01-20;Netherlands;51.89083,6.03889
2749017;Ouderkerk aan de Amstel;Ouderkerk aan de Amstel;Auderkerk kaj Amstel,Ouder Amstel,Ouderkerk,Ouderkerk Aan Den Amstel,Ouderkerk a/d Amstel,Ouderkerk aan de Amstel,Ouderkerk-sur-lAmstel,Аудеркерк кај Амстел;P;PPL;NL;Netherlands;;07;0437;;;7955;;0;Europe/Amsterdam;2017-10-17;Netherlands;52.29504,4.90746
2749599;Onderdijk;Onderdijk;;P;PPL;NL;Netherlands;;07;0420;;;1630;;-2;Europe/Amsterdam;2017-03-24;Netherlands;52.74333,5.1375
2750357;Nieuw-Dordrecht;Nieuw-Dordrecht;;P;PPL;NL;Netherlands;;01;0114;;;1370;;25;Europe/Amsterdam;2017-10-17;Netherlands;52.74833,6.96806
2750452;Neerbeek;Neerbeek;;P;PPL;NL;Netherlands;;05;0888;;;2480;;72;Europe/Amsterdam;2017-03-24;Netherlands;50.95,5.81528
2750621;Mook;Mook;;P;PPL;NL;Netherlands;;05;0944;;;2715;;13;Europe/Amsterdam;2017-10-17;Netherlands;51.7525,5.88194
2750790;Minnertsga;Minnertsga;Minnertsga,Minnertsgea;P;PPL;NL;Netherlands;;02;1949;;;1625;;0;Europe/Amsterdam;2019-01-20;Netherlands;53.25104,5.59513
2750965;Menaam;Menaam;Menaam,Menaldum;P;PPL;NL;Netherlands;;02;1949;;;2682;;0;Europe/Amsterdam;2019-01-20;Netherlands;53.21797,5.66124
2751005;Meezenbroek;Meezenbroek;Meezenbroek;P;PPLX;NL;Netherlands;;05;0917;;;2910;;111;Europe/Amsterdam;2018-12-04;Netherlands;50.8968,5.99051
