type,uri
forms (documents),http://vocab.getty.edu/aat/300049060
accounts,http://vocab.getty.edu/aat/300145802
bladtekst,
suikerlepel,
family arms,http://vocab.getty.edu/aat/300411429
lotingbal,
politiepet,
undershirts,http://vocab.getty.edu/aat/300210573
solitaire,
peepshows,http://vocab.getty.edu/aat/300211180
gildekan,
knobs (handles),http://vocab.getty.edu/aat/300080149
huishoudschort,
works on paper,http://vocab.getty.edu/aat/300189621
bureaukalender,
presse-papier,
dessert spoons,http://vocab.getty.edu/aat/300043159
plan (formal concept),http://vocab.getty.edu/aat/300069748
biervilt,
coffeepots,http://vocab.getty.edu/aat/300072215
beenbekleding,
highchairs (children's chairs),http://vocab.getty.edu/aat/300038184
begrafenishoed,
saws,http://vocab.getty.edu/aat/300024671
layout,
schoorsteenbetimmering,
commissions (orders for works),http://vocab.getty.edu/aat/300400904
legal notices,http://vocab.getty.edu/aat/300027757
jeneverkruik,
wisselbeker,
trommelstokhouder,
wafer irons,http://vocab.getty.edu/aat/300200162
curtains (window hangings),http://vocab.getty.edu/aat/300037564
canopy beds,http://vocab.getty.edu/aat/300142742
cabinets (case furniture),http://vocab.getty.edu/aat/300038888
pot,
schuttersglas,
umbrellas,http://vocab.getty.edu/aat/300046227
agendas (administrative records),http://vocab.getty.edu/aat/300027426
scarves (costume accessories),http://vocab.getty.edu/aat/300046123
pens (drawing and writing implements),http://vocab.getty.edu/aat/300022452
handleiding,
stenen,
herdenkingspenning,
coats (garments),http://vocab.getty.edu/aat/300046143
materieschilderij,
wandreliëf,
brievenboek,
crutches (equipment),http://vocab.getty.edu/aat/300236308
linen closets,http://vocab.getty.edu/aat/300004476
slaapkamerameublement,
pencils (drawing and writing equipment),http://vocab.getty.edu/aat/300022439
jam spoons,http://vocab.getty.edu/aat/300199909
calculators,http://vocab.getty.edu/aat/300081382
clocks,http://vocab.getty.edu/aat/300041575
napkins (culinary textile),http://vocab.getty.edu/aat/300216644
printing blocks (printing surfaces),http://vocab.getty.edu/aat/300161798
letter openers,http://vocab.getty.edu/aat/300259185
matchbooks,http://vocab.getty.edu/aat/300055099
lighters (fire-making equipment),http://vocab.getty.edu/aat/300265545
eyeglass cases,http://vocab.getty.edu/aat/300225933
koffer,
japonlijf,
pails,http://vocab.getty.edu/aat/300045695
pijpenstandaard,
schaduwbeeld,
offsets (printing effects),http://vocab.getty.edu/aat/300190403
dressing tables,http://vocab.getty.edu/aat/300039668
groentelepel,
fish forks (place forks),http://vocab.getty.edu/aat/300043109
holders (containers),http://vocab.getty.edu/aat/300197294
neckties,http://vocab.getty.edu/aat/300210068
can openers,http://vocab.getty.edu/aat/300200648
mechanical pencils,http://vocab.getty.edu/aat/300022449
information signs,http://vocab.getty.edu/aat/300213259
glass (material),http://vocab.getty.edu/aat/300010797
fire screens (furniture),http://vocab.getty.edu/aat/300037745
services (sets),http://vocab.getty.edu/aat/300236054
business announcements,http://vocab.getty.edu/aat/300026708
flashlights,http://vocab.getty.edu/aat/300262610
objects,http://vocab.getty.edu/aat/300311889
aanduidingsbord,
creditcardhouder,
magneetstrip,
visitekaartjeshouder,
notebooks,http://vocab.getty.edu/aat/300264354
etuis (containers),http://vocab.getty.edu/aat/300221557
card games (game sets),http://vocab.getty.edu/aat/300191227
organiser,
vergrootglas,
circusset,
folterpaal,
pochette,
socles,http://vocab.getty.edu/aat/300080499
tuning forks,http://vocab.getty.edu/aat/300212182
standaard[circusset],
scabbards,http://vocab.getty.edu/aat/300037139
ktijttekening,
acrylic paintings (visual works),http://vocab.getty.edu/aat/300181918
ritual objects,http://vocab.getty.edu/aat/300312158
capes (outerwear),http://vocab.getty.edu/aat/300046140
pocket knives,http://vocab.getty.edu/aat/300161528
schrift,
maquart,
houtdruk,
records (documents),http://vocab.getty.edu/aat/300026685
laser prints,http://vocab.getty.edu/aat/300312248
